step , loss 
1 , 78.04
2 , 73.75
3 , 73.52
4 , 109.10
5 , 70.40
6 , 51.06
7 , 83.44
8 , 118.62
9 , 63.89
10 , 122.41
11 , 98.81
12 , 104.22
13 , 89.68
14 , 68.51
15 , 125.55
16 , 94.81
17 , 127.96
18 , 65.53
19 , 98.22
20 , 105.99
21 , 85.55
22 , 75.17
23 , 102.67
24 , 63.11
25 , 84.48
26 , 52.33
27 , 77.31
28 , 62.59
29 , 58.23
30 , 64.50
31 , 68.54
32 , 69.64
33 , 98.12
34 , 56.51
35 , 63.04
36 , 104.80
37 , 61.99
38 , 87.03
39 , 40.87
40 , 68.78
41 , 98.32
42 , 97.43
43 , 66.23
44 , 61.99
45 , 58.87
46 , 54.38
47 , 85.63
48 , 111.63
49 , 25.24
50 , 66.88
51 , 41.50
52 , 42.79
53 , 46.75
54 , 84.03
55 , 55.97
56 , 58.15
57 , 39.92
58 , 65.44
59 , 36.29
60 , 41.11
61 , 56.98
62 , 30.45
63 , 56.69
64 , 52.20
65 , 42.84
66 , 35.27
67 , 46.20
68 , 35.78
69 , 51.89
70 , 41.43
71 , 39.10
72 , 63.68
73 , 38.62
74 , 36.27
75 , 52.45
76 , 26.03
77 , 72.21
78 , 45.60
79 , 46.20
80 , 27.65
81 , 31.26
82 , 29.55
83 , 22.22
84 , 57.10
85 , 75.14
86 , 40.31
87 , 67.08
88 , 43.52
89 , 31.53
90 , 32.85
91 , 79.32
92 , 40.59
93 , 49.45
94 , 60.54
95 , 34.60
96 , 31.09
961 , 26.67
962 , 81.51
963 , 31.97
964 , 42.18
965 , 18.89
966 , 22.49
967 , 48.83
968 , 33.08
969 , 33.15
970 , 39.86
971 , 29.76
972 , 84.15
973 , 31.31
974 , 28.20
975 , 63.10
976 , 36.89
977 , 57.50
978 , 21.95
979 , 46.01
980 , 30.94
981 , 64.63
982 , 34.74
983 , 33.67
984 , 26.25
985 , 49.99
986 , 31.07
987 , 22.44
988 , 26.95
989 , 20.39
990 , 20.17
